Terrence Jones 	$6.2K	5	23	42.1	0	7.36	38.64	80.00%	40.00%	40.00%	40.00%	40.00%
Nikola Mirotic 	$3.7K	12	13.04	37.2	0	1.75	24.34	50.00%	50.00%	50.00%	33.00%	33.00%
Tony Wroten 	$6.6K	13	30.67	47.6	11.7	17.99	43.34	92.00%	69.00%	62.00%	54.00%	31.00%
Elfrid Payton 	$4.7K	15	18.91	32.7	5.5	9.6	28.23	87.00%	60.00%	53.00%	40.00%	27.00%
Gary Neal 	$4.0K	12	18.52	30.2	7.6	11.44	25.59	92.00%	83.00%	58.00%	33.00%	25.00%
Devin Harris 	$4.1K	12	18.78	27.5	8.7	12.3	25.25	100.00%	75.00%	67.00%	42.00%	25.00%
Taj Gibson 	$5.9K	12	24.5	41	11.2	15.12	33.88	92.00%	75.00%	42.00%	25.00%	25.00%
Aaron Brooks 	$4.1K	13	16.83	36	-3	6.53	27.13	77.00%	69.00%	54.00%	31.00%	23.00%
Roy Hibbert 	$6.6K	13	29.38	44.2	8.6	17.78	40.97	85.00%	69.00%	69.00%	54.00%	23.00%
Brandon Davies 	$4.0K	13	15.29	27.3	2.2	7.76	22.83	77.00%	69.00%	46.00%	31.00%	23.00%
Shane Larkin 	$3.5K	13	13.3	25.9	0.5	6.7	19.9	85.00%	69.00%	38.00%	23.00%	23.00%
Gordon Hayward 	$7.5K	14	33.4	50.6	20	23.25	43.55	100.00%	86.00%	43.00%	36.00%	21.00%
Al-Farouq Aminu 	$3.6K	14	13.46	30.5	1.4	4.1	22.83	79.00%	43.00%	36.00%	29.00%	21.00%
Samuel Dalembert 	$3.7K	14	13.03	26.4	2.2	5.18	20.88	71.00%	57.00%	43.00%	29.00%	21.00%
Isaiah Thomas 	$5.7K	14	24.45	45.1	9.2	13.6	35.3	93.00%	64.00%	50.00%	36.00%	21.00%
Gerald Green 	$5.1K	14	20.31	38.6	0.2	8.6	32.01	71.00%	71.00%	50.00%	36.00%	21.00%
Cody Zeller 	$3.5K	14	16.13	24.1	7.4	11.37	20.89	100.00%	86.00%	64.00%	43.00%	21.00%
Tim Hardaway Jr. 	$3.8K	14	11.95	28.4	-1	2.96	20.94	57.00%	36.00%	36.00%	29.00%	21.00%
Alex Len 	$4.0K	14	15.05	35.7	2	5.71	24.39	71.00%	57.00%	43.00%	29.00%	21.00%
Amir Johnson 	$5.0K	10	20.25	39	9.1	11.64	28.86	90.00%	70.00%	50.00%	20.00%	20.00%
Alexey Shved 	$3.5K	10	14.64	29.1	6	7.53	21.75	90.00%	60.00%	40.00%	30.00%	20.00%
Dion Waiters 	$4.3K	11	15.21	29.2	5	7.18	23.24	73.00%	64.00%	27.00%	27.00%	18.00%
Quincy Acy 	$3.8K	11	13.8	28.1	4.6	6.77	20.83	82.00%	55.00%	36.00%	27.00%	18.00%
Nerlens Noel 	$5.9K	11	21.22	37	9.9	11.36	31.07	82.00%	45.00%	36.00%	36.00%	18.00%
J.J. Redick 	$4.1K	12	16.04	37.3	3	6.87	25.21	83.00%	58.00%	58.00%	17.00%	17.00%
Tristan Thompson 	$4.7K	12	18.4	38.6	7.8	9.85	26.95	83.00%	67.00%	42.00%	17.00%	17.00%
Bismack Biyombo 	$3.5K	6	14.6	25	-1	6.3	22.9	83.00%	83.00%	67.00%	50.00%	17.00%
Michael Kidd-Gilchrist 	$4.8K	6	19.43	36.1	4.7	9.62	29.25	83.00%	67.00%	50.00%	33.00%	17.00%
Meyers Leonard 	$3.6K	6	8.05	22.9	0	0.52	15.58	33.00%	33.00%	17.00%	17.00%	17.00%
Greivis Vasquez 	$3.7K	13	14.65	27.8	6.4	8.61	20.68	92.00%	77.00%	38.00%	23.00%	15.00%
Louis Williams 	$4.6K	13	18.12	48.3	8.2	7.73	28.51	85.00%	62.00%	46.00%	15.00%	15.00%
Mike Dunleavy 	$5.2K	13	19.92	39.8	7.6	10.4	29.43	85.00%	69.00%	38.00%	23.00%	15.00%
Chris Kaman 	$5.0K	13	21.22	31.4	9.9	14.43	28.02	92.00%	77.00%	54.00%	38.00%	15.00%
Lavoy Allen 	$4.5K	13	20.22	38.5	8	12.68	27.76	92.00%	85.00%	54.00%	31.00%	15.00%
Donald Sloan 	$5.3K	13	24.08	43.7	9.1	14.8	33.37	92.00%	77.00%	62.00%	54.00%	15.00%
Chris Copeland 	$5.0K	13	19.35	37.4	6.5	9.92	28.79	77.00%	62.00%	46.00%	31.00%	15.00%
Hollis Thompson 	$4.0K	13	15.76	28.3	0.2	8.16	23.36	85.00%	62.00%	54.00%	23.00%	15.00%
Solomon Hill 	$5.2K	13	21.95	39.7	7.6	12.62	31.29	85.00%	77.00%	46.00%	31.00%	15.00%
Kostas Papanikolaou 	$4.4K	13	17.18	29.2	7.3	9.66	24.69	85.00%	62.00%	54.00%	31.00%	15.00%
Dante Exum 	$3.5K	13	12.97	22.1	5	7.37	18.57	85.00%	54.00%	38.00%	31.00%	15.00%
Eric Bledsoe 	$6.6K	14	28.11	45.7	8.5	17.44	38.78	86.00%	79.00%	57.00%	36.00%	14.00%
Derrick Favors 	$7.0K	14	31.08	52.3	10.1	20.47	41.69	93.00%	86.00%	64.00%	36.00%	14.00%
C.J. Miles 	$3.9K	7	9.76	23.6	0	1.56	17.96	57.00%	29.00%	29.00%	14.00%	14.00%
Marvin Williams 	$3.5K	14	12.49	28.3	2.6	6.2	18.77	93.00%	57.00%	21.00%	21.00%	14.00%
Markieff Morris 	$6.7K	14	27.74	52.9	10.4	17	38.47	86.00%	86.00%	43.00%	21.00%	14.00%
Marcus Morris 	$4.6K	14	17.85	29.5	6.7	10.42	25.28	93.00%	64.00%	43.00%	29.00%	14.00%
Chandler Parsons 	$6.2K	14	24.69	39.6	12.6	16.46	32.91	100.00%	71.00%	57.00%	14.00%	14.00%
Tobias Harris 	$7.2K	14	33.14	48.1	17.5	23.16	43.11	100.00%	79.00%	71.00%	43.00%	14.00%
Kemba Walker 	$6.9K	14	29.56	48.8	16.6	19.89	39.24	100.00%	64.00%	57.00%	29.00%	14.00%
Evan Fournier 	$5.5K	14	23.59	39.4	13.6	16.9	30.27	100.00%	86.00%	50.00%	14.00%	14.00%
Miles Plumlee 	$4.1K	14	16.69	34.7	3.2	8.83	24.56	93.00%	64.00%	43.00%	29.00%	14.00%
Rudy Gobert 	$3.7K	14	15.04	26.1	4.7	9.12	20.96	86.00%	79.00%	43.00%	21.00%	14.00%
A.J. Price 	$3.8K	8	16.44	28.6	9	9.55	23.33	100.00%	63.00%	50.00%	38.00%	13.00%
C.J. McCollum 	$3.5K	9	10.16	21.9	2.9	3.87	16.44	67.00%	22.00%	22.00%	22.00%	11.00%
Joe Harris 	$3.5K	9	6.34	21.8	-1	0.36	12.33	22.00%	11.00%	11.00%	11.00%	11.00%
James Johnson 	$4.4K	10	18.81	38.5	9	10.68	26.94	100.00%	80.00%	50.00%	20.00%	10.00%
P.J. Tucker 	$4.7K	10	18.44	30.2	10.8	11.68	25.2	100.00%	60.00%	50.00%	30.00%	10.00%
Tyler Hansbrough 	$3.5K	11	9.49	23.9	2.4	3.23	15.75	64.00%	36.00%	18.00%	18.00%	9.00%
Dwight Howard 	$9.1K	11	33.83	55.2	0	19.18	48.48	91.00%	73.00%	36.00%	18.00%	9.00%
Dewayne Dedmon 	$3.5K	11	9.13	27.5	1.2	1.28	16.97	55.00%	27.00%	27.00%	18.00%	9.00%
Aaron Gordon 	$3.5K	11	11.01	29.7	2.9	3.51	18.51	73.00%	27.00%	27.00%	18.00%	9.00%
J.R. Smith 	$4.8K	13	18.38	39.8	6	9.65	27.12	85.00%	69.00%	46.00%	23.00%	8.00%
Gerald Henderson 	$4.0K	12	10.99	27.5	2	3.98	18	58.00%	58.00%	8.00%	8.00%	8.00%
Steve Blake 	$3.7K	13	14.23	24.7	-0.8	7.66	20.8	85.00%	77.00%	69.00%	15.00%	8.00%
Luke Ridnour 	$3.8K	13	11.98	23.8	3.2	4.96	19.01	62.00%	46.00%	38.00%	31.00%	8.00%
Ben Gordon 	$3.5K	12	9.29	27	-1	2	16.58	58.00%	42.00%	25.00%	8.00%	8.00%
Jason Terry 	$3.6K	13	12.08	22	3.9	6.98	17.18	85.00%	54.00%	38.00%	15.00%	8.00%
Matt Barnes 	$3.6K	12	12.17	26.5	3.4	6.04	18.3	83.00%	58.00%	33.00%	17.00%	8.00%
LeBron James 	$10.1K	12	41.95	61.4	21	29.76	54.14	100.00%	75.00%	50.00%	25.00%	8.00%
Patrick Patterson 	$4.4K	13	17.3	31.6	3.5	10.38	24.22	85.00%	85.00%	46.00%	23.00%	8.00%
Trevor Ariza 	$6.0K	13	26.32	43.7	15.8	18.98	33.65	100.00%	92.00%	62.00%	23.00%	8.00%
Luis Scola 	$4.8K	13	19.31	38.2	4.5	11.02	27.59	85.00%	77.00%	54.00%	31.00%	8.00%
Ian Mahinmi 	$3.9K	13	12.85	31.5	5.4	5.46	20.25	69.00%	38.00%	31.00%	15.00%	8.00%
Anderson Varejao 	$5.1K	12	22.9	37.2	5.8	15.23	30.57	92.00%	92.00%	67.00%	33.00%	8.00%
Robin Lopez 	$5.8K	13	23.88	37.2	9.8	17.33	30.42	92.00%	92.00%	46.00%	31.00%	8.00%
Spencer Hawes 	$4.3K	12	16.03	26.7	5.6	9.22	22.83	83.00%	67.00%	42.00%	25.00%	8.00%
DeAndre Jordan 	$7.2K	12	28.58	48.1	7.6	17.68	39.47	92.00%	67.00%	50.00%	33.00%	8.00%
Donatas Motiejunas 	$5.0K	13	14.89	30.1	3.1	6.46	23.32	62.00%	54.00%	23.00%	23.00%	8.00%
Jonas Valanciunas 	$5.7K	12	22.94	37.8	10.9	14.91	30.97	92.00%	75.00%	42.00%	25.00%	8.00%
Kyrie Irving 	$7.9K	12	34.85	50.5	18.7	25.99	43.71	100.00%	92.00%	67.00%	25.00%	8.00%
Iman Shumpert 	$5.7K	13	22.29	45.6	2	11.85	32.73	85.00%	77.00%	62.00%	23.00%	8.00%
Terrence Ross 	$4.8K	13	17.27	31.5	3.2	9.26	25.27	69.00%	62.00%	54.00%	15.00%	8.00%
Pablo Prigioni 	$3.5K	13	11.44	23.9	0	4.97	17.91	85.00%	54.00%	38.00%	15.00%	8.00%
Henry Sims 	$4.8K	13	18.92	31.1	7.3	12.72	25.11	92.00%	69.00%	38.00%	23.00%	8.00%
Jordan Farmar 	$3.5K	12	8.59	25.1	-0.8	1.62	15.56	42.00%	33.00%	17.00%	17.00%	8.00%
Amar'e Stoudemire 	$5.2K	13	23.32	32.6	11.6	16.79	29.86	100.00%	77.00%	62.00%	46.00%	8.00%
K.J. McDaniels 	$3.9K	13	15.57	24.6	8	10.48	20.66	100.00%	77.00%	54.00%	23.00%	8.00%
Doug McDermott 	$3.5K	12	6.92	22	-0.8	0.48	13.35	50.00%	25.00%	17.00%	8.00%	8.00%
Goran Dragic 	$6.7K	14	23.06	40.7	10.5	14	32.13	79.00%	57.00%	43.00%	14.00%	7.00%
Jameer Nelson 	$4.6K	14	17.04	28.4	6.4	11.54	22.55	93.00%	71.00%	43.00%	14.00%	7.00%
Carmelo Anthony 	$8.7K	14	35.14	55.9	22.3	26.92	43.36	100.00%	86.00%	50.00%	7.00%	7.00%
