Jannero Pargo 	$3.5K	1	11	11	11	11	11	100.00%	100.00%	0.00%	0.00%	0.00%
A.J. Price 	$3.8K	2	9	9	9	9	9	100.00%	0.00%	0.00%	0.00%	0.00%
Mo Williams 	N/A	3	27.97	35.1	21.4	22.36	33.57	0.00%	0.00%	0.00%	0.00%	0.00%
Manu Ginobili 	N/A	4	12.23	18.1	4.2	7.11	17.34	0.00%	0.00%	0.00%	0.00%	0.00%
Ramon Sessions 	N/A	2	6.1	7	5.2	5.2	7	0.00%	0.00%	0.00%	0.00%	0.00%
Tony Parker 	N/A	4	25.2	36.5	13.7	15.1	35.3	0.00%	0.00%	0.00%	0.00%	0.00%
Xavier Henry 	N/A	1	3	3	3	3	3	0.00%	0.00%	0.00%	0.00%	0.00%
Arron Afflalo 	N/A	4	23.9	31.3	15.7	18.36	29.44	0.00%	0.00%	0.00%	0.00%	0.00%
Randy Foye 	N/A	4	7.63	17.6	1.2	1.49	13.76	0.00%	0.00%	0.00%	0.00%	0.00%
Jeff Teague 	N/A	2	36.65	46.8	26.5	26.5	46.8	0.00%	0.00%	0.00%	0.00%	0.00%
Wayne Ellington 	N/A	2	10.4	10.4	10.4	10.4	10.4	0.00%	0.00%	0.00%	0.00%	0.00%
Marcus Thornton 	N/A	4	12.45	26.9	5.2	3.65	21.25	0.00%	0.00%	0.00%	0.00%	0.00%
Jerryd Bayless 	N/A	4	7.78	19.6	1	0.73	14.82	0.00%	0.00%	0.00%	0.00%	0.00%
Willie Green 	$3.5K	4	9.95	17.6	2.7	3.5	16.4	50.00%	50.00%	50.00%	25.00%	0.00%
Jarrett Jack 	N/A	4	26.35	30.9	22	22.32	30.38	0.00%	0.00%	0.00%	0.00%	0.00%
Courtney Lee 	N/A	3	16.9	22.6	8	10.52	23.28	0.00%	0.00%	0.00%	0.00%	0.00%
Shannon Brown 	N/A	3	7.67	12	-1	1.54	13.79	0.00%	0.00%	0.00%	0.00%	0.00%
Steve Blake 	$3.7K	3	15.07	19.9	8.4	10.2	19.94	100.00%	67.00%	67.00%	33.00%	0.00%
