Bismack Biyombo 	$3.5K	2	12	25	-1	-1	25	50.00%	50.00%	50.00%	50.00%	50.00%
Kris Humphries 	$4.0K	5	16.54	27.3	4.4	6.58	26.5	60.00%	60.00%	60.00%	40.00%	40.00%
Corey Brewer 	$4.4K	8	16.94	29.2	1.2	6.72	27.15	75.00%	63.00%	50.00%	38.00%	38.00%
Gerald Green 	$4.8K	9	18.44	38.5	0.2	6.29	30.6	67.00%	67.00%	44.00%	33.00%	33.00%
Roy Hibbert 	$6.7K	10	30.94	44.2	8.6	19.54	42.34	90.00%	70.00%	70.00%	60.00%	30.00%
Kevin Martin 	$6.0K	7	23.2	44.4	2.9	9.2	37.2	71.00%	57.00%	43.00%	29.00%	29.00%
Kyrie Irving 	$7.8K	7	34.96	50.5	18.7	23.57	46.35	100.00%	86.00%	57.00%	43.00%	29.00%
Jeff Teague 	$7.5K	8	31.28	47.8	11	18.48	44.07	75.00%	75.00%	63.00%	25.00%	25.00%
Darren Collison 	$6.5K	8	31.94	41.6	24.9	25.58	38.29	100.00%	100.00%	75.00%	38.00%	25.00%
John Wall 	$9.2K	8	40.63	56.2	20.1	26.63	54.62	100.00%	75.00%	50.00%	50.00%	25.00%
Kyle Korver 	$5.8K	8	28.6	40.3	19.3	21.64	35.56	100.00%	100.00%	75.00%	63.00%	25.00%
Taj Gibson 	$5.8K	8	25.28	39	17.6	17.36	33.19	100.00%	100.00%	38.00%	25.00%	25.00%
Kevin Garnett 	$4.6K	8	20.73	37.8	10.3	12.17	29.28	100.00%	75.00%	38.00%	38.00%	25.00%
Mirza Teletovic 	$4.7K	8	20.19	30.7	8.8	13.14	27.23	88.00%	88.00%	50.00%	25.00%	25.00%
Garrett Temple 	$4.6K	8	20.61	33.4	14.2	13.84	27.38	100.00%	100.00%	50.00%	38.00%	25.00%
Rasual Butler 	$3.6K	4	12.05	21.7	4.2	5.34	18.76	75.00%	50.00%	50.00%	25.00%	25.00%
Nikola Mirotic 	$3.5K	8	9.49	24.1	0	0.48	18.49	50.00%	38.00%	38.00%	25.00%	25.00%
Kyle Anderson 	$3.9K	4	7.98	23.6	0	-1.23	17.18	25.00%	25.00%	25.00%	25.00%	25.00%
