Russell Westbrook 	$8.5K	2	30.8	54.6	7	7	54.6	50.00%	50.00%	50.00%	50.00%	50.00%
Terrence Jones 	$6.2K	5	23	42.1	0	7.36	38.64	80.00%	40.00%	40.00%	40.00%	40.00%
Kevin Martin 	$6.2K	8	25.06	44.4	2.9	11.07	39.05	75.00%	63.00%	50.00%	38.00%	38.00%
Gerald Green 	$4.9K	11	19.47	38.6	0.2	6.67	32.27	64.00%	64.00%	45.00%	36.00%	36.00%
Kris Humphries 	$4.1K	6	17.82	27.3	4.4	8.29	27.34	67.00%	67.00%	67.00%	50.00%	33.00%
Elfrid Payton 	$4.6K	12	17.78	32.7	5.5	7.76	27.79	83.00%	50.00%	42.00%	33.00%	33.00%
Gary Neal 	$4.0K	10	19.11	30.2	7.6	11.63	26.59	90.00%	80.00%	60.00%	40.00%	30.00%
Timofey Mozgov 	$4.5K	10	18.72	30.2	8.2	11.41	26.03	90.00%	80.00%	40.00%	30.00%	30.00%
Tony Wroten 	$6.7K	10	33.08	47.6	11.7	20.43	45.73	90.00%	80.00%	70.00%	60.00%	30.00%
Jeremy Lamb 	$5.4K	7	24.54	42.5	6.7	13.38	35.7	86.00%	71.00%	57.00%	43.00%	29.00%
Devin Harris 	$4.3K	11	19.53	27.5	8.7	13.28	25.77	100.00%	82.00%	73.00%	36.00%	27.00%
Jordan Hill 	$6.5K	11	29.56	42	20.5	21.81	37.32	100.00%	100.00%	64.00%	27.00%	27.00%
Al-Farouq Aminu 	$3.9K	11	13.98	30.5	1.4	4.1	23.86	73.00%	45.00%	36.00%	27.00%	27.00%
Roy Hibbert 	$6.7K	11	30.75	44.2	8.6	19.87	41.64	91.00%	73.00%	73.00%	55.00%	27.00%
Alex Len 	$4.1K	11	15.1	35.7	2	4.74	25.46	64.00%	45.00%	45.00%	27.00%	27.00%
J.J. Hickson 	$5.0K	4	18.93	32.2	8.3	10.35	27.5	75.00%	75.00%	25.00%	25.00%	25.00%
Nick Collison 	$3.5K	12	13.64	22.4	4.5	7.59	19.7	75.00%	67.00%	50.00%	33.00%	25.00%
Bismack Biyombo 	$3.5K	4	13.1	25	-1	3.53	22.67	75.00%	75.00%	50.00%	50.00%	25.00%
Tim Hardaway Jr. 	$3.7K	12	13.43	28.4	1.5	4.69	22.16	67.00%	42.00%	42.00%	42.00%	25.00%
Shabazz Muhammad 	$3.7K	8	11.69	23.9	1.2	3.67	19.7	63.00%	38.00%	38.00%	25.00%	25.00%
Manu Ginobili 	$5.1K	9	21.49	32.4	4.2	12.01	30.97	78.00%	78.00%	67.00%	44.00%	22.00%
John Wall 	$9.1K	9	40	56.2	20.1	26.69	53.31	100.00%	78.00%	44.00%	44.00%	22.00%
Corey Brewer 	$4.5K	9	17.68	29.2	1.2	7.82	27.53	78.00%	67.00%	44.00%	44.00%	22.00%
Paul Pierce 	$5.7K	9	24.03	35.5	12.6	17.17	30.89	100.00%	89.00%	44.00%	22.00%	22.00%
Tristan Thompson 	$4.9K	9	19.27	38.6	7.8	9.91	28.62	78.00%	67.00%	44.00%	22.00%	22.00%
Quincy Acy 	$3.7K	9	13.02	28.1	4.6	5.5	20.54	78.00%	44.00%	33.00%	22.00%	22.00%
Garrett Temple 	$4.5K	9	19.94	33.4	14.2	13.29	26.6	100.00%	100.00%	44.00%	33.00%	22.00%
Anthony Bennett 	$3.7K	9	11.41	25.5	0	3.05	19.77	67.00%	44.00%	22.00%	22.00%	22.00%
Kelly Olynyk 	$5.6K	9	23.69	34.7	1.8	13.25	34.13	89.00%	78.00%	56.00%	44.00%	22.00%
Otto Porter 	$4.3K	9	16.26	31.5	2	7.45	25.06	78.00%	56.00%	56.00%	22.00%	22.00%
Anthony Morrow 	$4.3K	5	18.06	34.5	8.7	8.58	27.54	100.00%	60.00%	40.00%	20.00%	20.00%
Kevin Garnett 	$4.6K	10	20.8	37.8	10.3	12.79	28.81	100.00%	80.00%	40.00%	40.00%	20.00%
Zaza Pachulia 	$4.0K	10	16.03	35.6	2.9	5.96	26.1	70.00%	50.00%	50.00%	40.00%	20.00%
Cory Joseph 	$3.7K	10	14.89	24	5.2	8.8	20.98	90.00%	70.00%	50.00%	30.00%	20.00%
Mirza Teletovic 	$4.5K	10	19.01	30.7	8.3	11.77	26.25	80.00%	80.00%	50.00%	20.00%	20.00%
Aron Baynes 	$3.7K	10	11.41	28.4	-1	3.04	19.78	70.00%	40.00%	20.00%	20.00%	20.00%
Mason Plumlee 	$4.2K	10	16.5	27	10.3	10.56	22.44	100.00%	60.00%	40.00%	30.00%	20.00%
Hollis Thompson 	$4.0K	10	16.45	28.3	0.2	8.23	24.67	90.00%	60.00%	60.00%	30.00%	20.00%
Rasual Butler 	$3.6K	5	12.96	21.7	4.2	6.69	19.23	80.00%	60.00%	60.00%	20.00%	20.00%
Bojan Bogdanovic 	$4.1K	10	15.57	33.7	2.4	6.43	24.71	80.00%	60.00%	40.00%	30.00%	20.00%
Kyle Anderson 	$3.7K	5	7.7	23.6	0	-0.55	15.95	20.00%	20.00%	20.00%	20.00%	20.00%
Jeremy Lin 	$5.6K	11	22.29	36.1	4.9	12.07	32.52	82.00%	73.00%	45.00%	36.00%	18.00%
Brandon Jennings 	$7.1K	11	29.67	52.6	8.8	17.06	42.28	82.00%	73.00%	64.00%	18.00%	18.00%
Eric Bledsoe 	$6.7K	11	28.05	45.7	8.5	16.34	39.75	82.00%	73.00%	55.00%	36.00%	18.00%
Caron Butler 	$3.9K	11	14.96	32.6	8.6	6.76	23.17	100.00%	45.00%	36.00%	18.00%	18.00%
Ed Davis 	$5.0K	11	21.98	37.3	11.8	15.11	28.85	100.00%	91.00%	55.00%	18.00%	18.00%
Tony Allen 	$4.3K	11	18.71	27.3	9.5	12.38	25.03	100.00%	73.00%	55.00%	45.00%	18.00%
Marvin Williams 	$3.5K	11	12.47	28.3	2.6	5.41	19.53	91.00%	45.00%	27.00%	27.00%	18.00%
Markieff Morris 	$6.8K	11	28.36	52.9	10.4	16.39	40.34	82.00%	82.00%	45.00%	27.00%	18.00%
Lavoy Allen 	$4.5K	11	20.63	38.5	8	12.49	28.76	91.00%	82.00%	55.00%	36.00%	18.00%
Kemba Walker 	$6.9K	11	28.55	48.8	16.6	18.08	39.01	100.00%	55.00%	45.00%	27.00%	18.00%
Donald Sloan 	$5.4K	11	24.26	43.7	9.1	14.72	33.8	91.00%	82.00%	55.00%	45.00%	18.00%
Miles Plumlee 	$4.1K	11	17.46	34.7	3.2	8.83	26.09	91.00%	64.00%	55.00%	36.00%	18.00%
Cody Zeller 	$3.6K	11	16.12	24.1	7.4	11.25	20.98	100.00%	82.00%	64.00%	36.00%	18.00%
Solomon Hill 	$5.4K	11	22.65	39.7	7.6	13.45	31.86	91.00%	82.00%	36.00%	27.00%	18.00%
Sebastian Telfair 	$4.2K	12	15.21	29.3	3.5	6.66	23.76	67.00%	58.00%	42.00%	33.00%	17.00%
A.J. Price 	$4.1K	6	18.92	28.6	10	12.69	25.14	100.00%	83.00%	50.00%	50.00%	17.00%
Ricky Rubio 	$6.8K	6	25.43	42.6	0	11.13	39.74	83.00%	67.00%	50.00%	33.00%	17.00%
Kendrick Perkins 	$3.8K	12	13.16	23.8	2.4	6.13	20.19	75.00%	58.00%	42.00%	25.00%	17.00%
Samuel Dalembert 	$4.1K	12	13.57	26.4	2.2	5.42	21.71	58.00%	50.00%	42.00%	25.00%	17.00%
Tobias Harris 	$7.2K	12	32.43	48.1	17.5	22.04	42.81	100.00%	75.00%	67.00%	42.00%	17.00%
Michael Kidd-Gilchrist 	$4.8K	6	19.43	36.1	4.7	9.62	29.25	83.00%	67.00%	50.00%	33.00%	17.00%
Evan Fournier 	$5.5K	12	23.78	39.4	13.6	16.61	30.94	100.00%	83.00%	50.00%	17.00%	17.00%
Steven Adams 	$4.2K	12	20.05	33.6	7	13.21	26.89	92.00%	92.00%	67.00%	17.00%	17.00%
Joe Harris 	$3.5K	6	8.45	21.8	3.2	2.3	14.6	33.00%	17.00%	17.00%	17.00%	17.00%
Amir Johnson 	$5.0K	7	20.79	39	9.1	12.09	29.48	86.00%	71.00%	57.00%	14.00%	14.00%
C.J. Miles 	$3.9K	7	9.76	23.6	0	1.56	17.96	57.00%	29.00%	29.00%	14.00%	14.00%
Kevin Seraphin 	$3.5K	7	11.21	21.2	1.5	5.59	16.84	86.00%	43.00%	29.00%	14.00%	14.00%
Drew Gooden 	$3.7K	7	11	23.5	0	3.94	18.06	86.00%	43.00%	29.00%	14.00%	14.00%
P.J. Tucker 	$4.6K	7	17.47	30.2	10.8	10	24.94	100.00%	43.00%	43.00%	29.00%	14.00%
Randy Foye 	$4.5K	8	15.13	44.9	4.5	2.43	27.82	63.00%	38.00%	25.00%	25.00%	13.00%
Evan Turner 	$4.6K	8	19.35	32	9.8	11.58	27.12	100.00%	63.00%	63.00%	38.00%	13.00%
Matt Bonner 	$3.7K	8	9.88	23.7	0	3.14	16.61	75.00%	38.00%	13.00%	13.00%	13.00%
Dion Waiters 	$4.6K	8	16.86	29.2	5	8.25	25.48	75.00%	50.00%	38.00%	38.00%	13.00%
