Al-Farouq Aminu 	$3.9K	3	23.07	28.7	14.3	16.78	29.35	100.00%	100.00%	67.00%	67.00%	67.00%
Cory Joseph 	$3.7K	3	17.6	24	5.2	8.83	26.37	67.00%	67.00%	67.00%	67.00%	67.00%
Brandon Jennings 	$7.1K	4	39.28	52.6	22.4	27.24	51.31	100.00%	100.00%	75.00%	50.00%	50.00%
James Johnson 	$4.4K	2	26.15	38.5	13.8	13.8	38.5	100.00%	100.00%	50.00%	50.00%	50.00%
Quincy Pondexter 	$3.6K	2	13.05	21.6	4.5	4.5	21.6	50.00%	50.00%	50.00%	50.00%	50.00%
Kris Humphries 	$4.1K	2	25.75	27.3	24.2	24.2	27.3	100.00%	100.00%	100.00%	100.00%	50.00%
Samuel Dalembert 	$4.1K	4	17.68	26.4	7.9	9.7	25.65	75.00%	50.00%	50.00%	50.00%	50.00%
DeAndre Jordan 	$7.5K	2	42.25	48.1	36.4	36.4	48.1	100.00%	100.00%	100.00%	50.00%	50.00%
Jonas Valanciunas 	$6.1K	2	29.2	37.8	20.6	20.6	37.8	100.00%	100.00%	50.00%	50.00%	50.00%
Gerald Green 	$4.9K	4	21.73	38.6	0.2	4.57	38.88	50.00%	50.00%	50.00%	50.00%	50.00%
Jeremy Lamb 	$5.4K	4	24.58	42.5	6.7	10.33	38.82	75.00%	50.00%	50.00%	50.00%	50.00%
Rasual Butler 	$3.6K	2	19.15	21.7	16.6	16.6	21.7	100.00%	100.00%	100.00%	50.00%	50.00%
Alex Len 	$4.1K	4	19.93	35.7	7.6	8.29	31.56	75.00%	50.00%	50.00%	50.00%	50.00%
Otto Porter 	$4.3K	2	18.35	26.3	10.4	10.4	26.3	100.00%	50.00%	50.00%	50.00%	50.00%
A.J. Price 	$4.1K	3	21.8	28.6	14.4	15.99	27.61	100.00%	100.00%	67.00%	67.00%	33.00%
Manu Ginobili 	$5.1K	3	21.3	32.3	4.2	9.04	33.56	67.00%	67.00%	67.00%	67.00%	33.00%
Gerald Henderson 	$4.3K	3	16.13	27.5	5.2	7.02	25.24	67.00%	67.00%	33.00%	33.00%	33.00%
Kevin Martin 	$6.2K	3	20.5	38.1	2.9	6.13	34.87	67.00%	67.00%	33.00%	33.00%	33.00%
Brandan Wright 	$4.2K	3	22.03	26	18.6	18.99	25.08	100.00%	100.00%	100.00%	67.00%	33.00%
Corey Brewer 	$4.5K	3	26.53	29.2	23.6	24.24	28.83	100.00%	100.00%	100.00%	100.00%	33.00%
Luis Scola 	$4.8K	3	21.3	38.2	9.2	8.98	33.62	67.00%	67.00%	33.00%	33.00%	33.00%
Ian Mahinmi 	$3.5K	3	11.8	22	5.4	4.51	19.09	67.00%	33.00%	33.00%	33.00%	33.00%
J.J. Hickson 	$5.0K	3	19.07	32.2	8.3	9.17	28.97	67.00%	67.00%	33.00%	33.00%	33.00%
Kosta Koufos 	$4.2K	3	19.57	30.7	10.2	11.1	28.03	100.00%	67.00%	67.00%	33.00%	33.00%
Matt Bonner 	$3.7K	3	15.4	23.7	10.1	9.46	21.34	100.00%	67.00%	33.00%	33.00%	33.00%
Zaza Pachulia 	$4.0K	3	21.03	35.6	7.5	9.54	32.53	67.00%	67.00%	67.00%	67.00%	33.00%
Tyson Chandler 	$6.2K	3	30.5	40.2	22	23.02	37.98	100.00%	100.00%	67.00%	33.00%	33.00%
Zach Randolph 	$7.9K	3	34.97	48.4	26.9	25.4	44.53	100.00%	100.00%	33.00%	33.00%	33.00%
Tristan Thompson 	$4.9K	3	19.7	29.9	7.8	10.6	28.8	67.00%	67.00%	67.00%	33.00%	33.00%
Bismack Biyombo 	$3.5K	3	17.8	25	10.8	12	23.6	100.00%	100.00%	67.00%	67.00%	33.00%
Iman Shumpert 	$5.4K	3	23.57	45.6	2	5.76	41.37	67.00%	67.00%	67.00%	33.00%	33.00%
Dion Waiters 	$4.6K	3	24.07	29.2	16.1	18.36	29.78	100.00%	100.00%	67.00%	67.00%	33.00%
Tyler Zeller 	$4.0K	3	15.7	34.9	3.7	1.98	29.42	67.00%	33.00%	33.00%	33.00%	33.00%
Brian Roberts 	$3.5K	3	12.57	23.6	3.2	4.16	20.98	67.00%	67.00%	33.00%	33.00%	33.00%
Quincy Acy 	$3.7K	3	14.27	28.1	6.3	4.45	24.09	67.00%	33.00%	33.00%	33.00%	33.00%
Aron Baynes 	$3.7K	3	15.03	24.8	7.9	7.89	22.18	100.00%	67.00%	33.00%	33.00%	33.00%
Anthony Bennett 	$3.7K	3	15.93	24.4	8.8	9.5	22.37	100.00%	67.00%	33.00%	33.00%	33.00%
Kelly Olynyk 	$5.6K	3	21.3	34.7	1.8	7.19	35.41	67.00%	67.00%	67.00%	33.00%	33.00%
Solomon Hill 	$5.4K	3	26.3	37.9	20	18.09	34.51	100.00%	100.00%	33.00%	33.00%	33.00%
Shabazz Muhammad 	$3.7K	3	13.67	23.8	7	6.38	20.95	67.00%	33.00%	33.00%	33.00%	33.00%
Joe Harris 	$3.5K	3	11.7	21.8	6.4	4.56	18.84	33.00%	33.00%	33.00%	33.00%	33.00%
J.R. Smith 	$5.5K	4	26.3	39.8	17.4	17.73	34.87	100.00%	100.00%	50.00%	25.00%	25.00%
Jeremy Lin 	$5.6K	4	23.78	34.6	4.9	12.33	35.22	75.00%	75.00%	75.00%	50.00%	25.00%
Jarrett Jack 	$4.4K	4	19.53	28.1	11.9	13.41	25.64	100.00%	75.00%	50.00%	50.00%	25.00%
Eric Bledsoe 	$6.7K	4	30.43	45.7	15.3	19.28	41.57	100.00%	75.00%	50.00%	50.00%	25.00%
Carmelo Anthony 	$8.9K	4	43.35	55.9	37.5	36.03	50.67	100.00%	100.00%	100.00%	25.00%	25.00%
Jonas Jerebko 	$3.5K	4	13.2	22.2	6.2	7.45	18.95	75.00%	75.00%	25.00%	25.00%	25.00%
Caron Butler 	$3.9K	4	13.93	28.7	8.6	5.39	22.46	100.00%	25.00%	25.00%	25.00%	25.00%
Ed Davis 	$5.0K	4	20.4	30.2	11.8	13.44	27.36	100.00%	75.00%	50.00%	25.00%	25.00%
Darrell Arthur 	$4.2K	4	20.65	33.2	15	13.31	27.99	100.00%	100.00%	50.00%	25.00%	25.00%
Anthony Morrow 	$4.3K	4	20.33	34.5	8.7	11.01	29.64	100.00%	75.00%	50.00%	25.00%	25.00%
Timofey Mozgov 	$4.5K	4	19.5	28.2	14.9	14.22	24.78	100.00%	100.00%	50.00%	25.00%	25.00%
Nick Collison 	$3.5K	4	13.03	21.3	6.7	7.66	18.39	75.00%	75.00%	25.00%	25.00%	25.00%
Markieff Morris 	$6.8K	4	29.2	52.9	13.2	14.59	43.81	75.00%	75.00%	50.00%	25.00%	25.00%
Kyle Singler 	$3.7K	4	15.4	31.8	9.4	5.92	24.88	100.00%	25.00%	25.00%	25.00%	25.00%
Tobias Harris 	$7.2K	4	34.78	48	17.5	23.09	46.46	100.00%	75.00%	75.00%	50.00%	25.00%
Lance Thomas 	$4.3K	4	19.13	29.6	7.1	11.08	27.17	75.00%	75.00%	75.00%	25.00%	25.00%
Evan Fournier 	$5.5K	4	25.9	39.4	16	17.28	34.52	100.00%	75.00%	50.00%	25.00%	25.00%
Miles Plumlee 	$4.1K	4	17.4	26.4	3.2	8.23	26.57	75.00%	75.00%	50.00%	50.00%	25.00%
Mirza Teletovic 	$4.5K	4	16.95	30.4	8.3	7.82	26.08	50.00%	50.00%	50.00%	25.00%	25.00%
Pablo Prigioni 	$3.5K	4	15.03	23.9	7.6	8.26	21.79	100.00%	50.00%	50.00%	50.00%	25.00%
Mason Plumlee 	$4.2K	4	16.08	26.1	11	10.05	22.1	100.00%	50.00%	25.00%	25.00%	25.00%
Steven Adams 	$4.2K	4	22.35	33.6	15.5	15.58	29.12	100.00%	100.00%	75.00%	25.00%	25.00%
Tim Hardaway Jr. 	$3.7K	4	11.8	28.4	4.2	1.96	21.64	50.00%	25.00%	25.00%	25.00%	25.00%
Bojan Bogdanovic 	$4.1K	4	15.13	27.1	2.4	6.36	23.89	75.00%	75.00%	50.00%	25.00%	25.00%
Ty Lawson 	$8.1K	4	36.33	47.6	26.9	27.52	45.13	100.00%	100.00%	50.00%	50.00%	0.00%
Alonzo Gee 	$3.5K	3	7.67	14.4	3.4	2.85	12.48	33.00%	33.00%	33.00%	0.00%	0.00%
Danny Green 	$4.5K	3	21.97	25.4	18.1	18.97	24.96	100.00%	100.00%	100.00%	33.00%	0.00%
Avery Bradley 	$6.0K	3	22.67	28.8	19	18.3	27.03	100.00%	100.00%	33.00%	0.00%	0.00%
Sebastian Telfair 	$4.2K	4	9.05	15.1	3.5	4.68	13.42	50.00%	25.00%	0.00%	0.00%	0.00%
Mario Chalmers 	N/A	4	27.65	37.7	11.9	17.76	37.54	0.00%	0.00%	0.00%	0.00%	0.00%
Lance Stephenson 	$6.9K	3	26.6	37.1	20	19.09	34.11	100.00%	67.00%	33.00%	33.00%	0.00%
Gary Neal 	$4.0K	2	15.35	23.1	7.6	7.6	23.1	50.00%	50.00%	50.00%	50.00%	0.00%
Jannero Pargo 	$3.5K	2	9.6	11	8.2	8.2	11	100.00%	50.00%	0.00%	0.00%	0.00%
Mo Williams 	$5.5K	3	15	24.2	9.4	8.44	21.56	67.00%	33.00%	33.00%	0.00%	0.00%
Dwyane Wade 	N/A	1	32.3	32.3	32.3	32.3	32.3	0.00%	0.00%	0.00%	0.00%	0.00%
Ramon Sessions 	N/A	2	6.65	8.2	5.1	5.1	8.2	0.00%	0.00%	0.00%	0.00%	0.00%
Tony Parker 	$6.7K	3	21	23.9	16.7	17.9	24.1	100.00%	67.00%	0.00%	0.00%	0.00%
Xavier Henry 	$3.5K	3	6.37	12.4	1.2	1.75	10.98	33.00%	33.00%	0.00%	0.00%	0.00%
Arron Afflalo 	$5.3K	4	21.88	31.3	7.7	12.94	30.81	75.00%	75.00%	75.00%	50.00%	0.00%
Randy Foye 	$4.5K	2	4.85	5.2	4.5	4.5	5.2	0.00%	0.00%	0.00%	0.00%	0.00%
Jeff Teague 	N/A	4	25.63	36.4	9.9	15.87	35.38	0.00%	0.00%	0.00%	0.00%	0.00%
Greivis Vasquez 	$3.9K	2	9.85	11.8	7.9	7.9	11.8	100.00%	50.00%	0.00%	0.00%	0.00%
Marcus Thornton 	$3.5K	2	10.55	15.9	5.2	5.2	15.9	50.00%	50.00%	50.00%	0.00%	0.00%
Jerryd Bayless 	$3.6K	3	9.17	19.6	3	1.75	16.58	33.00%	33.00%	33.00%	33.00%	0.00%
Willie Green 	$3.5K	4	5.18	6.2	4.5	4.46	5.89	0.00%	0.00%	0.00%	0.00%	0.00%
Courtney Lee 	$5.3K	3	23.03	26.7	19.8	20.2	25.87	100.00%	100.00%	67.00%	33.00%	0.00%
Shannon Brown 	N/A	1	5.7	5.7	5.7	5.7	5.7	0.00%	0.00%	0.00%	0.00%	0.00%
Steve Blake 	N/A	3	19.7	24.7	16.9	16.16	23.24	0.00%	0.00%	0.00%	0.00%	0.00%
J.J. Redick 	$4.4K	2	13.7	18.9	8.5	8.5	18.9	50.00%	50.00%	50.00%	0.00%	0.00%
Leandro Barbosa 	N/A	3	14.33	16.7	10.5	11.6	17.07	0.00%	0.00%	0.00%	0.00%	0.00%
Nate Robinson 	$4.8K	4	8.93	15	6.1	5.37	12.48	25.00%	25.00%	0.00%	0.00%	0.00%
James Harden 	$10.1K	4	40.45	55.7	21	27.46	53.44	100.00%	75.00%	50.00%	25.00%	0.00%
Goran Dragic 	$7.1K	4	27.73	40.7	16.4	19.01	36.44	100.00%	75.00%	50.00%	25.00%	0.00%
Louis Williams 	$3.7K	2	14.3	20.4	8.2	8.2	20.4	100.00%	50.00%	50.00%	50.00%	0.00%
Aaron Brooks 	N/A	3	4.8	10.5	-3	-0.91	10.51	0.00%	0.00%	0.00%	0.00%	0.00%
Luke Ridnour 	$4.0K	3	17.4	20.3	12.3	13.78	21.02	100.00%	100.00%	67.00%	33.00%	0.00%
Jameer Nelson 	$4.8K	3	18.43	28.4	12.9	11.37	25.5	100.00%	33.00%	33.00%	33.00%	0.00%
Beno Udrih 	$3.7K	3	11.37	20.2	4.2	4.73	18	67.00%	33.00%	33.00%	33.00%	0.00%
DeMar DeRozan 	$7.9K	2	25.9	35.6	16.2	16.2	35.6	100.00%	50.00%	50.00%	0.00%	0.00%
O.J. Mayo 	$5.2K	3	14.8	19	9.5	10.84	18.76	67.00%	67.00%	0.00%	0.00%	0.00%
Kyle Lowry 	$8.3K	2	34.1	39.6	28.6	28.6	39.6	100.00%	100.00%	50.00%	0.00%	0.00%
Kirk Hinrich 	N/A	3	21.5	26.9	10.7	13.86	29.14	0.00%	0.00%	0.00%	0.00%	0.00%
Ben Gordon 	$3.5K	2	0.75	2.5	-1	-1	2.5	0.00%	0.00%	0.00%	0.00%	0.00%
Darren Collison 	N/A	3	30.9	31.9	29.9	30.08	31.72	0.00%	0.00%	0.00%	0.00%	0.00%
Mike Conley 	$7.1K	3	32.5	40.7	23.4	25.41	39.59	100.00%	100.00%	67.00%	33.00%	0.00%
Nick Young 	$5.1K	1	25	25	25	25	25	100.00%	100.00%	100.00%	0.00%	0.00%
D.J. Augustin 	$4.1K	4	10.33	13.5	7.7	7.88	12.77	75.00%	25.00%	0.00%	0.00%	0.00%
Vince Carter 	$3.8K	3	15	21.8	9.9	10	20	100.00%	67.00%	33.00%	33.00%	0.00%
Jason Terry 	$3.7K	4	12.05	20.1	3.9	6.13	17.97	75.00%	50.00%	25.00%	25.00%	0.00%
Tyreke Evans 	N/A	4	35.23	39.7	30.7	30.85	39.6	0.00%	0.00%	0.00%	0.00%	0.00%
Andre Miller 	$3.5K	2	10	11.5	8.5	8.5	11.5	100.00%	50.00%	0.00%	0.00%	0.00%
Jrue Holiday 	N/A	4	31.13	36.5	28.7	27.95	34.3	0.00%	0.00%	0.00%	0.00%	0.00%
Jamal Crawford 	$5.8K	2	24.2	33.9	14.5	14.5	33.9	100.00%	50.00%	50.00%	50.00%	0.00%
Devin Harris 	$4.3K	3	14.17	18.9	8.7	9.97	18.36	100.00%	67.00%	33.00%	0.00%	0.00%
Eric Gordon 	N/A	4	18.3	22	15.7	15.96	20.64	0.00%	0.00%	0.00%	0.00%	0.00%
Stephen Curry 	N/A	3	40.3	56.3	25.1	27.55	53.05	0.00%	0.00%	0.00%	0.00%	0.00%
Deron Williams 	$7.5K	4	30.13	37.5	23.3	24.99	35.26	100.00%	100.00%	50.00%	25.00%	0.00%
Kobe Bryant 	$9.4K	4	39.98	52.5	24.8	29.48	50.47	100.00%	75.00%	50.00%	25.00%	0.00%
Joe Johnson 	$6.4K	4	28.63	36.7	14.3	19.89	37.36	100.00%	75.00%	75.00%	50.00%	0.00%
John Wall 	$9.1K	2	44.55	54.1	35	35	54.1	100.00%	100.00%	50.00%	50.00%	0.00%
Rajon Rondo 	$8.9K	3	43.63	51.8	36.5	37.34	49.92	100.00%	100.00%	100.00%	33.00%	0.00%
Derrick Rose 	N/A	1	24.6	24.6	24.6	24.6	24.6	0.00%	0.00%	0.00%	0.00%	0.00%
Chris Paul 	$10.1K	2	39.6	52.5	26.7	26.7	52.5	100.00%	50.00%	50.00%	50.00%	0.00%
Monta Ellis 	$7.3K	3	29.57	33.5	24.4	25.75	33.38	100.00%	100.00%	67.00%	0.00%	0.00%
Chris Bosh 	N/A	4	29.58	34.6	21.9	24.55	34.6	0.00%	0.00%	0.00%	0.00%	0.00%
