Norris Cole 	$4.2K	11	17.68	28.4	5.9	9.27	26.09	64.00%	64.00%	64.00%	45.00%	36.00%
Taj Gibson 	$5.9K	10	25.44	41	11.2	15.71	35.17	90.00%	80.00%	40.00%	30.00%	30.00%
Nikola Mirotic 	$3.7K	10	10.33	24.1	0	1.03	19.63	40.00%	40.00%	40.00%	30.00%	30.00%
Mario Chalmers 	$5.3K	11	23.06	37.7	8.2	13.19	32.94	91.00%	73.00%	55.00%	45.00%	27.00%
Aaron Brooks 	$4.1K	11	16.59	36	-3	5.41	27.77	73.00%	64.00%	45.00%	36.00%	27.00%
Carl Landry 	$4.0K	11	16.42	26.1	6.8	9.93	22.91	82.00%	73.00%	45.00%	36.00%	27.00%
Darren Collison 	$6.8K	10	31.73	41.6	24.9	26.02	37.44	100.00%	100.00%	70.00%	30.00%	20.00%
Justin Hamilton 	$3.6K	5	8.66	24.4	0	0.25	17.07	40.00%	20.00%	20.00%	20.00%	20.00%
Mike Dunleavy 	$5.3K	11	20.99	39.8	7.6	11.23	30.75	91.00%	73.00%	45.00%	18.00%	18.00%
Ben McLemore 	$3.9K	11	14.66	24.8	3.9	7.54	21.79	73.00%	55.00%	45.00%	45.00%	18.00%
Shawne Williams 	$4.6K	11	21.74	32.7	9.9	15.7	27.77	100.00%	91.00%	73.00%	36.00%	18.00%
Chris Andersen 	$3.5K	7	7.36	21.7	0	0.37	14.35	29.00%	29.00%	14.00%	14.00%	14.00%
Reggie Evans 	$3.5K	9	11.38	24.8	3.4	5.54	17.22	78.00%	56.00%	22.00%	11.00%	11.00%
J.J. Redick 	$4.4K	10	15.64	37.3	3	5.64	25.64	70.00%	50.00%	40.00%	20.00%	10.00%
Matt Barnes 	$3.6K	10	12.66	26.5	3.4	6.1	19.22	80.00%	60.00%	40.00%	20.00%	10.00%
Luol Deng 	$6.6K	10	24.12	44	11.2	15.55	32.69	90.00%	60.00%	20.00%	10.00%	10.00%
Spencer Hawes 	$4.3K	10	15.88	26.7	5.6	8.47	23.29	80.00%	60.00%	40.00%	30.00%	10.00%
DeAndre Jordan 	$7.5K	10	30.86	48.1	15	21.23	40.49	100.00%	70.00%	50.00%	20.00%	10.00%
Jordan Farmar 	$3.5K	10	9.38	25.1	-0.8	2	16.76	50.00%	40.00%	20.00%	20.00%	10.00%
Doug McDermott 	$3.5K	10	6.74	22	-0.8	0.35	13.13	50.00%	20.00%	10.00%	10.00%	10.00%
James Ennis 	$3.8K	10	9.5	24.6	2.4	2.21	16.79	40.00%	30.00%	20.00%	20.00%	10.00%
Rudy Gay 	$8.2K	11	35.76	53.1	21.3	25.63	45.9	100.00%	82.00%	55.00%	36.00%	9.00%
DeMarcus Cousins 	$10.0K	11	41.01	63.9	30.7	31.19	50.83	100.00%	100.00%	45.00%	9.00%	9.00%
Ty Lawson 	N/A	10	32.31	47.6	8.5	22.11	42.51	0.00%	0.00%	0.00%	0.00%	0.00%
Alonzo Gee 	N/A	8	8.74	14.4	2.2	3.84	13.63	0.00%	0.00%	0.00%	0.00%	0.00%
J.R. Smith 	N/A	12	19.42	39.8	8	11.12	27.72	0.00%	0.00%	0.00%	0.00%	0.00%
Jeremy Lin 	N/A	12	21.1	36.1	4.9	10.54	31.66	0.00%	0.00%	0.00%	0.00%	0.00%
Brandon Jennings 	N/A	12	29.93	52.6	8.8	17.82	42.03	0.00%	0.00%	0.00%	0.00%	0.00%
Danny Green 	N/A	11	18.49	29.8	6.8	12.13	24.85	0.00%	0.00%	0.00%	0.00%	0.00%
Avery Bradley 	N/A	10	20.16	46.1	9.9	9.89	30.43	0.00%	0.00%	0.00%	0.00%	0.00%
Sebastian Telfair 	N/A	13	15.76	29.3	3.5	7.32	24.2	0.00%	0.00%	0.00%	0.00%	0.00%
Lance Stephenson 	N/A	12	27.78	38.8	11.4	19.35	36.2	0.00%	0.00%	0.00%	0.00%	0.00%
Gary Neal 	N/A	10	19.11	30.2	7.6	11.63	26.59	0.00%	0.00%	0.00%	0.00%	0.00%
Jannero Pargo 	N/A	3	7.07	11	2	3.31	10.83	0.00%	0.00%	0.00%	0.00%	0.00%
A.J. Price 	N/A	7	17.5	28.6	9	10.77	24.23	0.00%	0.00%	0.00%	0.00%	0.00%
Mo Williams 	N/A	10	17.69	35.1	8	9.35	26.03	0.00%	0.00%	0.00%	0.00%	0.00%
Manu Ginobili 	N/A	10	21.15	32.4	4.2	12.1	30.2	0.00%	0.00%	0.00%	0.00%	0.00%
Dwyane Wade 	$8.1K	8	34.39	43.7	24.9	27.82	40.96	100.00%	100.00%	50.00%	25.00%	0.00%
Ramon Sessions 	$3.8K	9	9.88	20.6	-1	2.77	16.99	56.00%	33.00%	33.00%	22.00%	0.00%
Tony Parker 	N/A	11	23.56	38.7	6.7	15.08	32.05	0.00%	0.00%	0.00%	0.00%	0.00%
George Hill 	N/A	1	0	0	0	0	0	0.00%	0.00%	0.00%	0.00%	0.00%
Xavier Henry 	N/A	7	4.19	12.4	1	0.27	8.1	0.00%	0.00%	0.00%	0.00%	0.00%
Arron Afflalo 	N/A	11	19.15	31.3	7.7	11.91	26.38	0.00%	0.00%	0.00%	0.00%	0.00%
Ricky Rubio 	N/A	6	25.43	42.6	0	11.13	39.74	0.00%	0.00%	0.00%	0.00%	0.00%
Randy Foye 	N/A	9	14.24	44.9	4.5	2.02	26.47	0.00%	0.00%	0.00%	0.00%	0.00%
Jeff Teague 	N/A	10	28.66	47.8	9.9	15.54	41.78	0.00%	0.00%	0.00%	0.00%	0.00%
Greivis Vasquez 	N/A	11	13.96	27.8	6.4	8.18	19.74	0.00%	0.00%	0.00%	0.00%	0.00%
Wayne Ellington 	N/A	6	11.57	16.5	0	5.81	17.33	0.00%	0.00%	0.00%	0.00%	0.00%
C.J. Watson 	N/A	1	0	0	0	0	0	0.00%	0.00%	0.00%	0.00%	0.00%
Gerald Henderson 	N/A	10	10.4	27.5	2	2.88	17.92	0.00%	0.00%	0.00%	0.00%	0.00%
Marcus Thornton 	N/A	9	11.38	26.9	5.2	4.98	17.78	0.00%	0.00%	0.00%	0.00%	0.00%
Jerryd Bayless 	N/A	12	12	26.6	3	5.4	18.6	0.00%	0.00%	0.00%	0.00%	0.00%
Willie Green 	N/A	9	6.24	17.6	2	1.72	10.77	0.00%	0.00%	0.00%	0.00%	0.00%
Jarrett Jack 	N/A	11	18.61	29.8	7.9	11.98	25.24	0.00%	0.00%	0.00%	0.00%	0.00%
Courtney Lee 	N/A	9	24.39	35.1	19.8	20.01	28.77	0.00%	0.00%	0.00%	0.00%	0.00%
Shannon Brown 	$3.5K	3	2.23	5.7	0	-0.25	4.72	0.00%	0.00%	0.00%	0.00%	0.00%
Steve Blake 	N/A	11	14.25	24.7	-0.8	7.54	20.95	0.00%	0.00%	0.00%	0.00%	0.00%
Eric Bledsoe 	N/A	12	28.56	45.7	8.5	17.22	39.9	0.00%	0.00%	0.00%	0.00%	0.00%
Marco Belinelli 	N/A	4	9.88	21.9	0	0.77	18.98	0.00%	0.00%	0.00%	0.00%	0.00%
Leandro Barbosa 	N/A	10	13.32	17.1	7.7	10.15	16.49	0.00%	0.00%	0.00%	0.00%	0.00%
Nate Robinson 	N/A	11	10.68	22.5	4.5	5.42	15.95	0.00%	0.00%	0.00%	0.00%	0.00%
James Harden 	N/A	12	42.79	55.7	21	33.31	52.27	0.00%	0.00%	0.00%	0.00%	0.00%
