Russell Westbrook 	$8.5K	2	30.8	54.6	7	7	54.6	50.00%	50.00%	50.00%	50.00%	50.00%
Timofey Mozgov 	$4.7K	12	19.53	32.4	8.2	11.74	27.32	92.00%	83.00%	42.00%	33.00%	33.00%
Norris Cole 	$4.2K	12	16.33	28.4	1.5	7.12	25.54	58.00%	58.00%	58.00%	42.00%	33.00%
Mario Chalmers 	$5.3K	13	24.42	42	8.2	14	34.83	92.00%	77.00%	62.00%	46.00%	31.00%
Gary Neal 	$4.0K	11	19.07	30.2	7.6	11.94	26.21	91.00%	82.00%	64.00%	36.00%	27.00%
J.J. Hickson 	$5.0K	4	18.93	32.2	8.3	10.35	27.5	75.00%	75.00%	25.00%	25.00%	25.00%
Jeremy Lin 	$5.5K	13	21.65	36.1	4.9	11.33	31.98	77.00%	69.00%	46.00%	38.00%	23.00%
Jeremy Lamb 	$5.5K	9	21.82	42.5	6.7	10.73	32.91	89.00%	56.00%	33.00%	33.00%	22.00%
Nick Collison 	$3.5K	14	13.41	22.4	4.5	7.67	19.15	79.00%	64.00%	50.00%	29.00%	21.00%
J.J. Redick 	$4.1K	11	15.89	37.3	3	6.33	25.45	82.00%	55.00%	55.00%	18.00%	18.00%
Tony Allen 	$4.3K	11	18.71	27.3	9.5	12.38	25.03	100.00%	73.00%	55.00%	45.00%	18.00%
JaVale McGee 	$3.5K	11	12.09	27.8	2	3.45	20.73	64.00%	45.00%	27.00%	27.00%	18.00%
Harrison Barnes 	$4.9K	11	21.09	32.7	8.3	13.74	28.44	82.00%	82.00%	73.00%	27.00%	18.00%
Tyler Zeller 	$3.8K	11	12.69	34.9	3.6	3.37	22.02	64.00%	36.00%	36.00%	18.00%	18.00%
Draymond Green 	$6.8K	11	27.79	42.1	15.2	18.61	36.97	100.00%	73.00%	45.00%	36.00%	18.00%
Kelly Olynyk 	$5.5K	11	23.68	34.7	1.8	13.89	33.47	91.00%	82.00%	55.00%	45.00%	18.00%
Chris Kaman 	$5.0K	12	20.78	31.4	9.9	13.89	27.66	92.00%	75.00%	50.00%	33.00%	17.00%
Bismack Biyombo 	$3.5K	6	14.6	25	-1	6.3	22.9	83.00%	83.00%	67.00%	50.00%	17.00%
