Norris Cole 	$4.2K	12	16.33	28.4	1.5	7.12	25.54	58.00%	58.00%	58.00%	42.00%	33.00%
Mike Muscala 	$3.7K	3	11.07	24.8	0	0.77	21.37	67.00%	33.00%	33.00%	33.00%	33.00%
Nikola Mirotic 	$3.7K	13	13.38	37.2	0	2.47	24.3	54.00%	54.00%	54.00%	31.00%	31.00%
Jeff Teague 	$7.0K	11	30.31	47.8	9.9	16.76	43.86	73.00%	73.00%	64.00%	45.00%	27.00%
Taj Gibson 	$5.9K	12	24.5	41	11.2	15.12	33.88	92.00%	75.00%	42.00%	25.00%	25.00%
Garrett Temple 	$4.0K	12	16.54	33.4	4.9	8.25	24.83	83.00%	75.00%	33.00%	25.00%	25.00%
Carl Landry 	$3.7K	13	15.25	26.1	6.8	8.68	21.82	92.00%	62.00%	54.00%	31.00%	23.00%
Timofey Mozgov 	$4.9K	13	20.46	32.4	8.2	12.31	28.61	92.00%	85.00%	38.00%	38.00%	23.00%
Kris Humphries 	$4.2K	9	17.71	27.3	4.4	9.28	26.14	78.00%	67.00%	67.00%	44.00%	22.00%
Mario Chalmers 	$6.1K	14	25.59	42	8.2	14.7	36.47	79.00%	71.00%	50.00%	36.00%	21.00%
Aaron Brooks 	$4.1K	14	16.71	36	-3	6.77	26.64	79.00%	71.00%	50.00%	29.00%	21.00%
J.J. Hickson 	$4.9K	5	18.06	32.2	8.3	10.2	25.92	80.00%	60.00%	20.00%	20.00%	20.00%
Kevin Seraphin 	$3.5K	10	12.16	26.7	1.5	5.15	19.17	80.00%	50.00%	30.00%	20.00%	20.00%
Marreese Speights 	$5.4K	11	18.15	39.4	5.4	6.92	29.39	64.00%	45.00%	45.00%	18.00%	18.00%
Kyle Korver 	$5.4K	11	24.18	40.3	1.5	13.93	34.43	91.00%	82.00%	55.00%	45.00%	18.00%
Otto Porter 	$4.3K	11	15.76	31.5	2	7.55	23.97	82.00%	55.00%	55.00%	18.00%	18.00%
John Wall 	$9.2K	12	41.23	56.2	20.1	29.33	53.12	100.00%	83.00%	58.00%	42.00%	17.00%
JaVale McGee 	$3.5K	12	11.65	27.8	2	3.25	20.05	58.00%	42.00%	25.00%	25.00%	17.00%
Harrison Barnes 	$4.8K	12	20.47	32.7	8.3	13.13	27.8	83.00%	75.00%	67.00%	25.00%	17.00%
Austin Rivers 	$3.5K	12	13.93	28.1	6	7.12	20.73	83.00%	67.00%	42.00%	17.00%	17.00%
Justin Hamilton 	$3.5K	6	7.75	24.4	0	-0.19	15.69	33.00%	17.00%	17.00%	17.00%	17.00%
Brandon Jennings 	$7.1K	13	28.58	52.6	8.8	16.05	41.11	77.00%	69.00%	62.00%	15.00%	15.00%
Caron Butler 	$3.7K	13	14.52	32.6	7.4	6.68	22.36	100.00%	46.00%	38.00%	23.00%	15.00%
Wilson Chandler 	$5.3K	13	23.02	34.6	11.6	16.14	29.9	100.00%	85.00%	62.00%	23.00%	15.00%
Luol Deng 	$6.6K	13	24.59	44	11.2	15.29	33.9	92.00%	54.00%	23.00%	15.00%	15.00%
Zaza Pachulia 	$4.2K	13	15.68	35.6	2.9	6.72	24.64	69.00%	54.00%	46.00%	15.00%	15.00%
James Ennis 	$3.5K	13	8.29	24.6	0.2	1.3	15.29	54.00%	23.00%	15.00%	15.00%	15.00%
